Assembly	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	Reference length	GC (%)	Reference GC (%)	N50	NG50	N90	NG90	auN	auNG	L50	LG50	L90	LG90	# N's per 100 kbp
Hybrid_Pl2	1	1	1	1	1	0	31797	31797	31797	31797	31797	0	1	31797	31797	32423	36.11	36.13	31797	31797	31797	31797	31797.0	31183.1	1	1	1	1	0.00
Illumina_Only_Pl2	9	6	2	0	0	0	29384	27954	13127	0	0	0	8	8051	29306	32423	35.98	36.13	4734	4734	4308	614	5231.4	4728.5	3	3	5	8	0.00
