Assembly	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	Reference length	GC (%)	Reference GC (%)	N50	NG50	N90	NG90	auN	auNG	L50	LG50	L90	LG90	# N's per 100 kbp
Hybrid_Pl1	1	1	1	1	1	1	223644	223644	223644	223644	223644	223644	1	223644	223644	223688	35.68	35.68	223644	223644	223644	223644	223644.0	223600.0	1	1	1	1	0.00
Illumina_Only_Pl1	86	29	14	7	1	0	203619	186747	150019	102842	25067	0	37	25067	193070	223688	35.42	35.68	10576	9598	2351	-	10933.4	9436.9	7	8	22	-	0.00
