Assembly	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	Reference length	GC (%)	Reference GC (%)	N50	NG50	N90	NG90	auN	auNG	L50	LG50	L90	LG90	# N's per 100 kbp
SuperHybrid_All	1	1	1	1	1	1	2764874	2764874	2764874	2764874	2764874	2764874	1	2764874	2764874	2765010	38.11	38.11	2764874	2764874	2764874	2764874	2764874.0	2764738.0	1	1	1	1	0.00
Hybrid_Nano	1	1	1	1	1	1	2764874	2764874	2764874	2764874	2764874	2764874	1	2764874	2764874	2765010	38.11	38.11	2764874	2764874	2764874	2764874	2764874.0	2764738.0	1	1	1	1	0.00
Illumina_Only	275	119	76	62	31	14	2649827	2609636	2510237	2405418	1878131	1239116	137	114326	2621879	2765010	38.03	38.11	44853	43896	12466	6443	57558.4	54578.9	16	18	59	73	0.00
